,000300.SH,000905.SH,CBA00651.CS,CBA04031.CS,H11062.CSI,H11063.CSI,H11064.CSI,H11065.CSI
2006-04-12,1117.073,1095.497,117.5624,,99.63,179.88,176.28,183.96
2006-04-13,1093.925,1062.69,117.2915,,99.13,181.11,176.13,182.85
2006-04-14,1118.607,1088.183,117.5114,,99.44,184.53,180.01,186.35
2006-04-17,1124.414,1093.513,117.5036,,100.28,190.18,184.48,187.69
2006-04-18,1131.281,1097.73,117.2958,,99.79,192.63,180.31,185.37
2006-04-19,1138.241,1100.661,117.2288,,100.08,197.64,182.01,185.4
2006-04-20,1134.381,1091.851,117.2901,,99.95,195.17,184.54,187.41
2006-04-21,1149.158,1102.547,117.1535,,98.98,190.39,179.13,184.46
2006-04-24,1142.698,1094.375,116.9144,,99.7,199.57,182.82,188.87
2006-04-25,1141.93,1103.059,117.1268,,99.45,205.34,178.35,186.01
2006-04-26,1155.726,1116.811,117.3859,,99.64,211.63,179.61,186.04
2006-04-27,1155.268,1125.32,117.384,,99.98,221.09,178.64,184.02
2006-04-28,1172.347,1141.685,117.6318,,100.56,215.88,179.85,183.22
2006-05-08,1218.445,1180.728,117.2875,,100.75,222.58,184.24,184.57
2006-05-09,1251.611,1218.094,117.5545,,102.15,231.59,191.7,183.72
2006-05-10,1265.933,1241.571,118.0451,,101.96,240.47,200.53,185.05
2006-05-11,1255.035,1237.772,118.1796,,102.54,250.35,206.33,191.05
2006-05-12,1296.257,1283.677,118.0417,,102.7,256.28,211.14,188.52
2006-05-15,1352.155,1344.924,117.7814,,103.07,262.46,218.88,186.59
2006-05-16,1331.127,1297.932,118.0131,,101.11,252.03,206.91,179.5
2006-05-17,1335.523,1318.966,118.0103,,102.01,256.17,216.82,180.69
2006-05-18,1331.201,1328.206,118.0518,,102.19,245.76,211.02,177.83
2006-05-19,1366.097,1365.647,117.8987,,102.15,240.18,212.44,179.74
2006-05-22,1373.674,1386.748,117.8329,,101.68,231.99,204.39,176.7
2006-05-23,1317.654,1326.156,118.0711,,102.22,223.39,215.32,182.04
