,factor_0,factor_1,factor_2,factor_3,factor_4
2017-05-19,0.9336197603782858,0.9489918140802192,0.9339690275614265,0.9629543700374639,0.9461690350779527
2017-05-22,0.9311077441533447,0.9474778883710719,0.9330520379686887,0.9642256998473874,0.9454259286701324
2017-05-23,0.9286786699415609,0.9455494202610653,0.9307304666381269,0.9663386851844943,0.947644590630614
2017-05-24,0.9300228236898379,0.9462345469247229,0.9311391932661925,0.9661570781958426,0.9473409522903389
2017-05-25,0.9301631192203088,0.9438988995577868,0.9282343227845917,0.9701268930007374,0.9493407815181659
2017-05-26,0.9300790884757103,0.9441182775939985,0.9290553859203006,0.9718194110021497,0.9484558792754632
2017-05-31,0.9309548934915716,0.9447831654162516,0.9305833683055442,0.9743583832560833,0.94649833954724
2017-06-01,0.9282452429248204,0.9427888134018633,0.9282191929940932,0.9751329126277966,0.9484384925958791
2017-06-02,0.9298046543702722,0.941914641933791,0.9264308283437741,0.976101173949711,0.948277443930977
2017-06-05,0.9320066739936885,0.9430951878082076,0.927058832051588,0.9747430305493989,0.9486831169154794
2017-06-06,0.9313255125098426,0.9418388200132011,0.925780458849395,0.9762569305799527,0.9501600179430482
2017-06-07,0.9319452441192356,0.9399044504567466,0.9231412726995476,0.9792017714267988,0.951456783083978
2017-06-08,0.9308319244737141,0.9387040512759823,0.9220876393675573,0.9809924226518465,0.953251980698683
2017-06-09,0.9308014726196482,0.9387098656787353,0.9220582769087331,0.9810141287291907,0.9538253154017536
2017-06-12,0.930036935160707,0.9407484218320628,0.9252436009466873,0.9787471822871686,0.9539316060250355
2017-06-13,0.9310655757593387,0.939311302678122,0.9231849388738294,0.9811034996411923,0.955142074821448
2017-06-14,0.933057153603829,0.9422910714218261,0.9265163946245498,0.9772980766673256,0.9536121205336577
2017-06-15,0.9339214711112791,0.9413969745439198,0.9251219472365265,0.9778231721463886,0.9528887145989821
2017-06-16,0.9337171641461889,0.941254396363156,0.9250068947525059,0.9766112017588758,0.9529181718322004
2017-06-19,0.9332269449991355,0.940357002008333,0.9248347165227354,0.9795256264570539,0.9565561441528877
2017-06-20,0.9329839306784686,0.9398656307412603,0.9246642404985286,0.9798769555586269,0.9560352785298162
2017-06-21,0.9298837429298417,0.9359882826282306,0.920980796285741,0.9830071591912923,0.9576180759831415
2017-06-22,0.9265263327622986,0.9339529450415256,0.9200633348307908,0.9856134307609602,0.9587834197297701
2017-06-23,0.9254350509616076,0.9332988003362306,0.9199693681455557,0.9872122961603235,0.9588780117168594
2017-06-26,0.9261465883564772,0.9326462268824547,0.9191195124951494,0.9888579106135635,0.9594244705487192
2017-06-27,0.9254573557075295,0.9324392361361497,0.9195785500720798,0.9894591750376546,0.9598760718532363
2017-06-28,0.9251548098491763,0.9325691027776825,0.9200524095673899,0.9883524426403005,0.9581092452711879
2017-06-29,0.9245657785322695,0.9322311973436185,0.9201062746757971,0.9882801204339687,0.9584981745395638
2017-06-30,0.9246411762574002,0.9314868115537484,0.9191036635396933,0.9884916625756116,0.9583987948133038
2017-07-03,0.9258412068560794,0.9312142074104464,0.9180550963348002,0.9869118394290303,0.9588391702762655
2017-07-04,0.9258913704225413,0.9308425785865255,0.917554634368976,0.9876536016400459,0.9595846354380944
2017-07-05,0.92591835390079,0.9309896396437062,0.917888900475011,0.9876505358034687,0.9596027937954859
2017-07-06,0.9260470705683361,0.9313265569347984,0.9182446108581128,0.9870228854726643,0.959392500901766
2017-07-07,0.9260078684921906,0.9310892506423506,0.9179703412480097,0.9869877620817422,0.9592934814139973
2017-07-10,0.9263650516583033,0.9312233761336443,0.9178201565107054,0.9853125479637566,0.95995626925164
2017-07-11,0.9253239657932342,0.9311690970321549,0.9180647905385565,0.9858022273425421,0.9608159941194924
2017-07-12,0.9255732611894262,0.9318140397335889,0.9188382361733632,0.9853543249604542,0.9595531450113337
2017-07-13,0.9245756795672057,0.9307842552319192,0.9181060706606498,0.9873314448391928,0.9607832716117304
2017-07-14,0.9234467134046336,0.9301203257871095,0.9174663813565131,0.9882768135423842,0.961848382513287
2017-07-17,0.921586552822366,0.9297629140674274,0.917571644619005,0.989576894257086,0.9643207532794628
