,factor_0,factor_1,factor_2,factor_3,factor_4
2012-08-10,0.9181223336423477,0.9271832999682408,0.8267542323906775,0.9066738142749873,0.795570994964095
2012-08-13,0.9170458992983889,0.9289240532128363,0.8293266473638058,0.9056894945578029,0.7963639384196882
2012-08-14,0.9152975003855773,0.9301933255511888,0.832431036217808,0.9050120609976545,0.7974280596716474
2012-08-15,0.9135417946417772,0.9309034957803821,0.8358435850878784,0.9050966219317631,0.7993300262260361
2012-08-16,0.9119870852228656,0.9321373809910045,0.8390773118927892,0.904681064793218,0.8011792077625741
2012-08-17,0.9107762637949092,0.933623819047827,0.8420920746508482,0.9042352014940909,0.8024590844997284
2012-08-20,0.9090168860339994,0.9352561389786178,0.8454225679347308,0.9038351206552092,0.8044832311061837
2012-08-21,0.9080423587011939,0.9366958645489428,0.8486652956436153,0.902892334965911,0.8062752312819741
2012-08-22,0.9083916602225552,0.9386622337782374,0.8515814154911119,0.9011628098317334,0.8075001555094194
2012-08-23,0.9094311543225059,0.9410359609656888,0.8541449565282754,0.8981789414994154,0.8081909350843762
2012-08-24,0.9107306381161635,0.9437044042421964,0.8560088644890612,0.8946703773105708,0.8091114642807432
2012-08-27,0.9119651152874213,0.9467969811822835,0.8575595977830265,0.8908600623535035,0.8094757124841212
2012-08-28,0.912302782858128,0.9493223802162459,0.8597943826272153,0.8874514377139506,0.810205587927066
2012-08-29,0.9125399868459776,0.9516530199002078,0.8621194683626217,0.8844010652478766,0.8109156476020667
2012-08-30,0.9127450322579608,0.9539368539474143,0.8643725612632789,0.8810534607076846,0.8113648019047477
2012-08-31,0.9125250258915778,0.9564373564805135,0.866598874716127,0.8780865649382673,0.8113387141652506
2012-09-03,0.9132000978116982,0.9586216944139936,0.8682055008815407,0.8736365438389975,0.8106122258384377
2012-09-04,0.9135222133581391,0.9613961649997338,0.8695461038858835,0.8690995424472656,0.8096066718586931
2012-09-05,0.9129871426307986,0.9643473785770389,0.8711684250802944,0.8648653013450643,0.8086040956870095
2012-09-06,0.9123663637423278,0.9669595058687778,0.872720068067955,0.8620116436753119,0.8069220304607553
2012-09-07,0.9127122158725642,0.968675247710256,0.8742755390342695,0.8590174065190551,0.805272644318003
2012-09-10,0.91357231580228,0.9707326607092888,0.8757727703166165,0.8568550643389138,0.8029737274440049
2012-09-11,0.9146794683290996,0.9727938695793806,0.8770307913136278,0.8555265199445447,0.7996942646406803
2012-09-12,0.9167738760329543,0.9745165373555638,0.8787036417237588,0.8539899708973315,0.7968091883450659
2012-09-13,0.9186597612279742,0.9766859572375155,0.8802067367021312,0.8525873540645401,0.7942541895321538
2012-09-14,0.9220116795399834,0.9789665750866684,0.8819167438215776,0.8517030884627319,0.7896845296365002
2012-09-17,0.9249080347582946,0.9816408872213761,0.8835926899846084,0.8517936639690403,0.7848187048316408
2012-09-18,0.9272592353225452,0.9842140700733176,0.885234086558506,0.852503594133149,0.7807328829863142
2012-09-19,0.9301065178473431,0.9866133144544024,0.8865798285691467,0.8535057195158106,0.7759579458686485
2012-09-20,0.9316256055154182,0.9895593802022509,0.8880551091065862,0.8549460980991611,0.7721048386054914
2012-09-21,0.933052305071706,0.9920451924940863,0.889197555520357,0.8575579451393397,0.7678125541641501
2012-09-24,0.9335829999670827,0.9940186572530482,0.8907643944528906,0.8608724335118811,0.7643252549561639
2012-09-25,0.9344872928516892,0.9957920745895372,0.8924332375174736,0.8645445042781196,0.7606494995672595
